estacion,anio,semana,CO,NO,NO2,NOX,O3,PM10,PM2.5,PRS,RAINF,RH,SO2,SR,TOUT,WSR,WDR,WDR_E,WDR_N,WDR_NE,WDR_NO,WDR_O,WDR_S,WDR_SE,WDR_SO,ndvi_mediana
NE3,2022,2022-03-21,0.2945,7.6,8.149999999999999,15.5,38.65,61.0,,730.0,0.0,23.0,2.7,0.068,22.4,8.25,131.5,0.2857142857142857,0.08928571428571429,0.005952380952380952,0.19642857142857142,0.14285714285714285,0.0,0.1488095238095238,0.011904761904761904,0.1525840908288955
NE3,2022,2022-03-28,0.326,9.1,6.9,15.0,33.8,48.0,,727.0,0.0,50.0,2.4,0.0495,24.15,9.6,115.0,0.3630952380952381,0.03571428571428571,0.023809523809523808,0.06547619047619048,0.05952380952380952,0.011904761904761904,0.4107142857142857,0.005952380952380952,0.1364962980151176
NE3,2022,2022-04-04,0.3435,7.8,7.5,15.0,37.45,66.0,,725.0,0.0,33.0,2.55,0.0135,24.15,9.149999999999999,122.0,0.26785714285714285,0.05357142857142857,0.03571428571428571,0.14285714285714285,0.10714285714285714,0.005952380952380952,0.35119047619047616,0.011904761904761904,0.1318758875131607
NE3,2022,2022-04-11,0.389,9.8,6.8,15.5,25.5,45.0,,725.0,0.0,58.5,2.5,0.019,27.4,8.5,114.0,0.44047619047619047,0.023809523809523808,0.017857142857142856,0.125,0.07142857142857142,0.017857142857142856,0.2857142857142857,0.011904761904761904,-0.0170346451923251
NE3,2022,2022-04-18,0.375,9.7,5.5,14.7,24.049999999999997,39.0,,728.0,0.0,69.5,2.4,0.0125,24.95,13.149999999999999,110.0,0.5357142857142857,0.017857142857142856,0.005952380952380952,0.011904761904761904,0.011904761904761904,0.03571428571428571,0.34523809523809523,0.0,0.0131004368886351
NE3,2022,2022-05-02,0.422,9.3,5.8,14.4,25.2,52.0,,725.0,0.0,62.0,2.7,0.0435,28.8,9.899999999999999,109.0,0.5535714285714286,0.0,0.023809523809523808,0.017857142857142856,0.041666666666666664,0.023809523809523808,0.32142857142857145,0.011904761904761904,-0.0244072526693344
NE3,2022,2022-05-09,0.398,9.5,5.0,13.8,27.25,36.0,,728.0,0.0,64.0,2.9,0.02,27.6,12.3,108.5,0.6904761904761905,0.005952380952380952,0.0,0.011904761904761904,0.023809523809523808,0.011904761904761904,0.23214285714285715,0.0,0.1827491298317909
NE3,2022,2022-05-16,0.441,8.8,5.9,13.9,37.4,48.0,,726.0,0.0,54.0,2.7,0.054,29.3,10.1,108.0,0.5654761904761905,0.005952380952380952,0.011904761904761904,0.011904761904761904,0.017857142857142856,0.02976190476190476,0.30952380952380953,0.017857142857142856,0.1616954505443573
NE3,2022,2022-05-23,0.41,9.95,6.3,15.45,30.700000000000003,33.0,,727.0,0.0,72.0,2.7,0.05,25.3,8.3,109.0,0.5535714285714286,0.005952380952380952,0.017857142857142856,0.011904761904761904,0.0,0.05952380952380952,0.3392857142857143,0.005952380952380952,0.1674026548862457
NE3,2022,2022-06-06,0.408,9.1,5.0,13.6,28.049999999999997,35.0,,726.0,0.0,55.0,2.9,0.013,29.5,12.4,108.0,0.6547619047619048,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.005952380952380952,0.1608175784349441
NE3,2022,2022-06-13,0.385,9.3,4.1,12.8,26.2,58.0,,728.0,0.0,54.0,2.8,0.0475,28.1,16.45,116.5,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,0.5476190476190477,0.0,0.1449869573116302
NE3,2022,2022-06-20,0.408,9.4,4.8,13.3,30.1,25.0,,730.0,0.0,54.0,2.6,0.081,28.9,14.149999999999999,106.0,0.7261904761904762,0.0,0.0,0.0,0.0,0.0,0.26785714285714285,0.0,0.1453968286514282
