estacion,anio,semana,CO,NO,NO2,NOX,O3,PM10,PM2.5,PRS,RAINF,RH,SO2,SR,TOUT,WSR,WDR,WDR_E,WDR_N,WDR_NE,WDR_NO,WDR_O,WDR_S,WDR_SE,WDR_SO,ndvi_mediana
NE2,2021,2021-12-27,1.54,10.7,24.4,37.25,14.0,95.0,31.0,709.0,0.0,45.0,3.6,0.0,22.799999999999997,8.3,278.0,0.06547619047619048,0.19047619047619047,0.041666666666666664,0.2619047619047619,0.16666666666666666,0.023809523809523808,0.22023809523809523,0.02976190476190476,0.0597216412425041
NE2,2022,2022-01-03,1.89,19.3,23.35,48.150000000000006,7.0,91.0,26.0,716.4,0.0,42.0,3.45,0.0,14.815000000000001,6.25,156.5,0.07738095238095238,0.13095238095238096,0.03571428571428571,0.19642857142857142,0.1488095238095238,0.06547619047619048,0.3392857142857143,0.005952380952380952,0.0670211166143417
NE2,2022,2022-01-10,1.71,9.9,19.2,29.75,10.0,98.0,23.0,722.6,0.0,36.0,3.2,0.001,14.07,6.7,292.5,0.041666666666666664,0.26785714285714285,0.011904761904761904,0.21428571428571427,0.13690476190476192,0.03571428571428571,0.22023809523809523,0.0,0.0750647783279419
NE2,2022,2022-01-17,1.72,8.5,18.9,30.9,10.0,70.0,15.0,719.1,0.0,54.0,3.3,0.0,8.85,6.55,286.5,0.06547619047619048,0.27976190476190477,0.07738095238095238,0.19642857142857142,0.1488095238095238,0.0,0.2261904761904762,0.005952380952380952,0.070435419678688
NE2,2022,2022-01-24,1.8250000000000002,13.45,18.35,33.85,6.0,53.0,16.0,720.25,0.0,84.0,3.1,0.0,12.24,7.300000000000001,143.0,0.11904761904761904,0.18452380952380953,0.08928571428571429,0.23214285714285715,0.03571428571428571,0.0,0.32142857142857145,0.017857142857142856,0.0401360057294368
NE2,2022,2022-01-31,1.7,6.5,13.8,20.3,10.0,54.5,15.0,715.7,0.0,57.0,3.1,0.0,13.27,8.95,299.0,0.125,0.23214285714285715,0.02976190476190476,0.2857142857142857,0.05952380952380952,0.005952380952380952,0.2261904761904762,0.0,
NE2,2022,2022-02-07,1.74,6.7,18.1,25.0,12.0,57.0,16.0,720.1,0.0,52.0,3.1,0.001,14.05,10.1,176.0,0.05357142857142857,0.15476190476190477,0.06547619047619048,0.21428571428571427,0.11904761904761904,0.03571428571428571,0.30952380952380953,0.005952380952380952,0.049128733575344
NE2,2022,2022-02-14,1.9,9.4,20.75,31.65,12.0,70.0,18.0,720.4,0.0,40.0,4.2,0.0035,17.095,9.05,134.0,0.11904761904761904,0.11904761904761904,0.041666666666666664,0.13095238095238096,0.05952380952380952,0.02976190476190476,0.5,0.0,0.0412103589624166
NE2,2022,2022-02-21,1.84,9.6,15.9,26.9,6.0,66.0,20.0,717.45,0.0,70.0,3.5,0.001,14.35,9.1,138.0,0.08928571428571429,0.17857142857142858,0.05952380952380952,0.13095238095238096,0.023809523809523808,0.023809523809523808,0.48214285714285715,0.005952380952380952,-0.0126864011399447
NE2,2022,2022-02-28,1.94,11.0,15.7,27.2,10.0,61.0,19.0,718.0,0.0,63.0,3.5,0.0025,19.36,7.7,125.0,0.2916666666666667,0.041666666666666664,0.06547619047619048,0.05357142857142857,0.0,0.02976190476190476,0.5,0.0,0.036781258881092
NE2,2022,2022-03-07,1.855,5.1,12.45,18.2,14.0,59.5,15.0,715.5,0.0,45.5,3.25,0.001,15.82,10.55,134.5,0.08928571428571429,0.25,0.06547619047619048,0.08333333333333333,0.005952380952380952,0.017857142857142856,0.4166666666666667,0.0,0.0456630643457174
NE2,2022,2022-03-14,1.95,5.8,15.8,21.7,28.0,88.5,19.0,716.6500000000001,0.0,26.0,4.4,0.031,22.64,9.649999999999999,134.0,0.16071428571428573,0.125,0.05357142857142857,0.14285714285714285,0.047619047619047616,0.005952380952380952,0.36904761904761907,0.0,0.04616111330688
