estacion,semana,ndvi_mediana,imagenes_utilizadas,pixeles_validos
NE3,2021-05-17,0.2689138650894165,1,7845
NE3,2021-05-24,0.006539075169712305,2,15690
NE3,2021-05-31,,0,0
NE3,2021-06-07,0.314691960811615,2,15690
NE3,2021-06-14,0.27939465641975403,1,7845
NE3,2021-06-21,,0,0
NE3,2021-06-28,0.25634921342134476,2,15690
NE3,2021-07-05,0.43823933601379395,1,7845
NE3,2021-07-12,0.2897896021604538,2,15690
NE3,2021-07-19,0.32824426889419556,1,7845
NE3,2021-07-26,0.2339622676372528,1,7845
NE3,2021-08-02,0.22534283250570297,2,15690
NE3,2021-08-09,0.35764607787132263,1,7845
NE3,2021-08-16,0.3893709182739258,1,7845
NE3,2021-08-23,0.1654135286808014,1,7845
NE3,2021-08-30,0.31190475821495056,1,7845
NE3,2021-09-06,0.192756287753582,2,15690
NE3,2021-09-13,0.2675709128379822,1,7845
NE3,2021-09-20,0.19874021410942078,2,15690
NE3,2021-09-27,,0,0
NE3,2021-10-04,0.47291892766952515,1,7845
NE3,2021-10-11,0.43352600932121277,1,7845
NE3,2021-10-18,,0,0
NE3,2021-10-25,,0,0
NE3,2021-11-01,,0,0
NE3,2021-11-08,0.4399999976158142,1,7845
NE3,2021-11-15,0.5335646867752075,2,15690
NE3,2021-11-22,0.3773505985736847,1,7845
NE3,2021-11-29,0.49704840779304504,1,7845
NE3,2021-12-06,,0,0
NE3,2021-12-13,0.19431104511022568,2,15690
NE3,2021-12-20,0.43283581733703613,3,23535
NE3,2021-12-27,0.3907563090324402,1,7845
NE3,2022-01-03,0.35279135406017303,2,15690
NE3,2022-01-10,0.3523086607456207,1,7845
NE3,2022-01-17,0.32913100719451904,1,7845
NE3,2022-01-24,0.18454039096832275,1,7845
NE3,2022-01-31,,0,0
NE3,2022-02-07,0.16739898175001144,2,15690
NE3,2022-02-14,0.16682683676481247,2,15690
NE3,2022-02-21,-0.019510531798005104,2,15690
NE3,2022-02-28,0.13745173811912537,3,23535
NE3,2022-03-07,0.14685414731502533,2,15690
NE3,2022-03-14,0.13898736983537674,2,15690
NE3,2022-03-21,0.15258409082889557,1,7845
NE3,2022-03-28,0.13649629801511765,2,15690
NE3,2022-04-04,0.1318758875131607,3,23535
NE3,2022-04-11,-0.017034645192325115,2,15690
NE3,2022-04-18,0.013100436888635159,3,23535
NE3,2022-04-25,,0,0
NE3,2022-05-02,-0.02440725266933441,1,7845
NE3,2022-05-09,0.18274912983179092,4,31380
NE3,2022-05-16,0.1616954505443573,1,7845
NE3,2022-05-23,0.16740265488624573,3,23535
NE3,2022-05-30,,0,0
NE3,2022-06-06,0.16081757843494415,1,7845
NE3,2022-06-13,0.14498695731163025,3,23535
NE3,2022-06-20,0.14539682865142822,1,7845
NE3,2022-06-27,0.1420890986919403,3,23535
NE3,2022-07-04,0.17607751488685608,1,7845
NE3,2022-07-11,0.16542094200849533,2,15690
NE3,2022-07-18,0.1546262726187706,2,15690
NE3,2022-07-25,0.13156791031360626,2,15690
NE3,2022-08-01,0.15481480956077576,3,23535
NE3,2022-08-08,0.11255909875035286,2,15690
NE3,2022-08-15,0.07831821590662003,1,7845
NE3,2022-08-22,0.15423662960529327,3,23535
NE3,2022-08-29,0.042740046977996826,1,7845
NE3,2022-09-05,0.28012973070144653,2,15690
NE3,2022-09-12,0.1323760598897934,2,15690
NE3,2022-09-19,0.30025702714920044,2,15690
NE3,2022-09-26,0.3121645748615265,3,23535
NE3,2022-10-03,,0,0
NE3,2022-10-10,0.18419195711612701,3,23535
NE3,2022-10-17,0.3059984892606735,2,15690
NE3,2022-10-24,0.2890923023223877,1,7845
NE3,2022-10-31,0.12681110948324203,2,15690
NE3,2022-11-07,0.04429836943745613,1,7845
NE3,2022-11-14,0.17841079831123352,1,7845
NE3,2022-11-21,0.002298850566148758,1,7845
NE3,2022-11-28,0.236432284116745,1,7845
NE3,2022-12-05,0.015425803605467081,2,15690
NE3,2022-12-12,0.2523629367351532,1,7845
NE3,2022-12-19,0.23889347165822983,2,15690
NE3,2022-12-26,0.16061744093894958,1,7845
NE3,2023-01-02,0.18668827414512634,2,15690
NE3,2023-01-09,0.17290690541267395,4,31380
NE3,2023-01-16,-0.0029863560339435935,2,15690
NE3,2023-01-23,0.09509306401014328,3,23535
NE3,2023-01-30,0.16770615428686142,2,15690
NE3,2023-02-06,0.08137628063559532,2,15690
NE3,2023-02-13,0.1182871162891388,3,23535
NE3,2023-02-20,0.14591291546821594,1,7845
NE3,2023-02-27,0.14233576506376266,2,15690
NE3,2023-03-06,0.125881128013134,2,15690
NE3,2023-03-13,-0.030328398570418358,2,15690
NE3,2023-03-20,0.05478473752737045,4,31380
NE3,2023-03-27,,0,0
NE3,2023-04-03,-0.026504991576075554,2,15690
NE3,2023-04-10,,0,0
NE3,2023-04-17,0.12460720539093018,2,15690
NE3,2023-04-24,0.12349367549177259,4,31380
NE3,2023-05-01,,0,0
NE3,2023-05-08,-0.0031774851959198713,1,7845
NE3,2023-05-15,,0,0
NE3,2023-05-22,0.18285298347473145,2,15687
NE3,2023-05-29,0.30255404114723206,3,23535
NE3,2023-06-05,0.28658975660800934,2,15690
NE3,2023-06-12,0.2570977807044983,3,23535
NE3,2023-06-19,0.2104376032948494,2,15690
NE3,2023-06-26,0.2068580463528633,2,15690
NE3,2023-07-03,-0.014912654645740986,3,23535
NE3,2023-07-10,0.10181401297450066,2,15690
NE3,2023-07-17,0.23820072412490845,2,15690
NE3,2023-07-24,0.21865341067314148,2,15690
NE3,2023-07-31,0.2118866816163063,2,15690
NE3,2023-08-07,0.19154467433691025,4,31380
NE3,2023-08-14,0.1785641834139824,2,15690
NE3,2023-08-21,0.14589080959558487,2,15690
NE3,2023-08-28,0.17986754328012466,2,15690
NE3,2023-09-04,0.1775578185915947,2,15690
NE3,2023-09-11,0.18997345864772797,4,31380
NE3,2023-09-18,0.23352007567882538,2,15690
NE3,2023-09-25,0.26897069811820984,3,23535
NE3,2023-10-02,,0,0
NE3,2023-10-09,0.011898051714524627,2,15690
NE3,2023-10-16,0.10595514625310898,3,23535
NE3,2023-10-23,-0.005347618309315294,2,15690
NE3,2023-10-30,0.20630796998739243,2,15690
NE3,2023-11-06,,0,0
NE3,2023-11-13,0.005095074186101556,2,15690
NE3,2023-11-20,0.14547755010426044,4,31380
NE3,2023-11-27,0.3259870857000351,2,15690
NE3,2023-12-04,0.3432931452989578,2,15690
NE3,2023-12-11,0.0902777761220932,1,7845
NE3,2023-12-18,0.19822485744953156,1,7845
NE3,2023-12-25,0.32018861174583435,1,7845
NE3,2024-01-01,-0.02600472792983055,1,7845
NE3,2024-01-08,0.2902447134256363,2,15690
NE3,2024-01-15,0.25295618176460266,1,7845
NE3,2024-01-22,,0,0
NE3,2024-01-29,0.21233657002449036,2,15690
NE3,2024-02-05,0.22143974900245667,1,7845
NE3,2024-02-12,0.07630660803988576,2,15690
NE3,2024-02-19,0.19397501647472382,1,7845
NE3,2024-02-26,0.19581232964992523,1,7845
NE3,2024-03-04,0.06485261023044586,1,7845
